Global_active_power,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Sub_total,Apparent_power,Power_factor,month,hour,day_of_week
0.27,1.4,0.0,2.0,0.0,2.0,0.339178,0.796042196133004,9,7,6
0.396,1.8,0.0,1.0,1.0,2.0,0.43407,0.9122952519178934,10,4,2
1.038,4.4,0.0,2.0,1.0,3.0,1.0359360000000002,1.0,11,18,0
1.356,5.6,0.0,0.0,18.0,18.0,1.354808,1.0,12,10,2
1.434,5.8,0.0,0.0,19.0,19.0,1.422914,1.0,3,3,4
1.172,5.0,0.0,0.0,0.0,0.0,1.18345,0.9903248975453124,5,20,3
2.686,11.2,0.0,0.0,18.0,18.0,2.6710879999999997,1.0,5,19,5
2.694,11.2,39.0,0.0,0.0,39.0,2.680496,1.0,4,19,0
0.324,1.6,0.0,2.0,1.0,3.0,0.386096,0.8391695329658946,6,14,4
0.484,2.2,0.0,2.0,1.0,3.0,0.5281980000000001,0.9163230455245948,5,6,5
1.368,5.6,0.0,0.0,18.0,18.0,1.334368,1.0,6,18,3
0.468,2.2,0.0,1.0,0.0,1.0,0.532158,0.8794380616283134,4,5,5
0.162,0.8,0.0,1.0,1.0,2.0,0.192104,0.843293216174572,8,11,6
1.4,5.6,0.0,0.0,18.0,18.0,1.3605199999999995,1.0,12,14,6
0.6,3.0,0.0,0.0,0.0,0.0,0.7017,0.8550662676357418,6,21,0
1.028,4.4,0.0,0.0,0.0,0.0,1.0283680000000002,0.9996421514477306,2,18,6
0.262,1.2,0.0,0.0,0.0,0.0,0.288192,0.9091161447923608,10,3,1
0.258,1.4,0.0,0.0,1.0,1.0,0.336014,0.7678251501425537,8,19,3
1.534,6.4,0.0,0.0,17.0,17.0,1.5105280000000003,1.0,9,9,5
0.82,3.6,0.0,6.0,1.0,7.0,0.8629560000000001,0.9502222593040665,5,12,2
0.558,2.2,0.0,1.0,0.0,1.0,0.529254,1.0,10,19,4
2.916,12.0,1.0,0.0,18.0,19.0,2.87376,1.0,11,20,0
1.954,8.0,0.0,0.0,28.0,28.0,1.92144,1.0,5,17,4
0.742,3.6,0.0,0.0,9.0,9.0,0.8706240000000001,0.8522622854412467,7,13,0
0.176,0.8,0.0,1.0,0.0,1.0,0.190264,0.9250304839591303,9,2,6
0.318,1.2,0.0,1.0,1.0,2.0,0.299388,1.0,2,15,0
1.334,5.4,0.0,0.0,18.0,18.0,1.299942,1.0,4,9,1
0.21,0.8,0.0,0.0,0.0,0.0,0.19136,1.0,2,11,6
5.94,24.8,39.0,0.0,17.0,56.0,5.940592,0.9999003466321202,1,2,6
0.294,1.2,0.0,0.0,0.0,0.0,0.288012,1.0,4,4,3
0.25,1.0,0.0,0.0,1.0,1.0,0.2413,1.0,6,4,1
1.478,6.0,0.0,0.0,18.0,18.0,1.4679,1.0,1,3,1
1.364,5.6,0.0,0.0,18.0,18.0,1.341032,1.0,9,19,5
2.7,11.2,0.0,0.0,29.0,29.0,2.721936,0.9919410302079108,11,7,3
1.678,6.8,0.0,0.0,17.0,17.0,1.645124,1.0,1,9,2
0.318,1.6,0.0,0.0,0.0,0.0,0.385888,0.8240733062442989,9,13,5
0.226,1.0,0.0,0.0,0.0,0.0,0.24209,0.933537114296336,10,1,6
0.232,1.0,0.0,0.0,1.0,1.0,0.24022,0.9657813670801766,9,5,0
0.16,0.6,0.0,0.0,0.0,0.0,0.1451219999999999,1.0,5,6,5
1.418,5.8,0.0,0.0,18.0,18.0,1.4055140000000002,1.0,4,23,6
0.21,1.0,0.0,1.0,0.0,1.0,0.24197,0.8678761829978923,6,21,5
1.432,6.0,2.0,0.0,18.0,20.0,1.43082,1.0,6,10,5
0.422,2.0,0.0,1.0,1.0,2.0,0.48566,0.8689206440719844,3,14,5
0.558,3.2,0.0,0.0,0.0,0.0,0.7766080000000001,0.7185092092793275,7,19,0
1.55,6.4,0.0,1.0,18.0,19.0,1.555584,0.9964103513535753,4,14,6
0.386,1.6,0.0,0.0,1.0,1.0,0.386448,0.9988407237196208,4,23,4
1.096,4.8,0.0,1.0,12.0,13.0,1.1423039999999998,0.9594643807602884,7,6,4
0.55,2.2,0.0,0.0,1.0,1.0,0.535348,1.0,7,23,6
1.47,6.0,0.0,0.0,19.0,19.0,1.46262,1.0,1,11,0
1.178,4.8,0.0,0.0,18.0,18.0,1.136784,1.0,9,19,4
0.29,1.4,0.0,2.0,0.0,2.0,0.3428459999999999,0.8458608238101073,7,0,2
0.268,1.2,0.0,0.0,1.0,1.0,0.289464,0.9258491556808448,8,2,1
0.394,1.8,0.0,1.0,1.0,2.0,0.440892,0.8936428876005915,12,5,2
0.224,1.0,0.0,1.0,1.0,2.0,0.24117,0.9288054069743334,8,0,2
0.276,1.2,0.0,1.0,0.0,1.0,0.29172,0.9461127108185932,9,13,6
2.646,11.0,38.0,0.0,1.0,39.0,2.6374700000000004,1.0,10,12,2
0.112,0.4,0.0,0.0,0.0,0.0,0.096056,1.0,6,2,2
1.356,5.6,0.0,0.0,18.0,18.0,1.3426559999999998,1.0,10,8,1
1.318,5.4,0.0,0.0,1.0,1.0,1.3270500000000005,0.9931803624580836,10,22,6
1.422,5.8,1.0,0.0,18.0,19.0,1.388172,1.0,10,15,5
0.254,1.4,0.0,0.0,0.0,0.0,0.335958,0.7560468868132326,8,10,5
0.386,1.6,0.0,0.0,1.0,1.0,0.390608,0.988203006594847,4,0,4
1.678,6.8,0.0,0.0,18.0,18.0,1.650972,1.0,1,23,2
0.392,2.2,0.0,1.0,1.0,2.0,0.5336320000000001,0.7345886303669944,7,12,1
5.138,21.8,0.0,72.0,0.0,72.0,5.140004,0.9996101170349284,2,12,6
0.352,1.4,0.0,0.0,1.0,1.0,0.33726,1.0,11,0,0
1.502,6.2,1.0,0.0,17.0,18.0,1.4834740000000002,1.0,3,8,4
0.418,2.0,0.0,0.0,0.0,0.0,0.4816999999999999,0.8677600166078473,6,4,2
1.54,6.4,1.0,1.0,18.0,20.0,1.5431040000000005,0.9979884699929492,7,20,2
0.218,0.8,0.0,0.0,0.0,0.0,0.193984,1.0,2,16,2
0.362,1.6,0.0,1.0,0.0,1.0,0.385056,0.9401229950968168,3,5,1
