Date;Time;Global_active_power;Global_reactive_power;Voltage;Global_intensity;Sub_metering_1;Sub_metering_2;Sub_metering_3
6/6/2010;03:13:00;0.246;0.076;242.490;1.000;0.000;0.000;1.000
15/6/2008;12:56:00;3.880;0.398;235.810;16.400;38.000;3.000;18.000
29/5/2008;13:25:00;0.162;0.000;235.540;0.600;0.000;0.000;1.000
16/1/2009;07:43:00;2.480;0.000;239.860;10.200;0.000;0.000;17.000
3/11/2010;07:21:00;0.360;0.120;244.470;1.600;0.000;0.000;1.000
13/3/2008;10:31:00;0.326;0.094;241.130;1.400;0.000;0.000;0.000
13/11/2008;12:09:00;0.358;0.082;242.490;1.600;0.000;0.000;0.000
12/8/2007;19:16:00;0.104;0.000;236.200;0.400;0.000;0.000;0.000
13/5/2007;06:39:00;0.214;0.000;238.820;1.000;0.000;0.000;0.000
27/10/2010;19:46:00;1.500;0.062;241.220;6.200;0.000;0.000;19.000
11/3/2007;04:53:00;2.514;0.148;242.400;10.400;0.000;0.000;0.000
17/4/2010;04:01:00;0.364;0.084;242.750;1.400;0.000;0.000;1.000
28/12/2008;14:55:00;1.310;0.048;243.810;5.400;0.000;0.000;18.000
13/10/2009;10:11:00;1.356;0.070;237.890;5.600;0.000;0.000;18.000
23/7/2007;05:47:00;0.218;0.074;234.680;1.000;0.000;1.000;0.000
22/7/2009;21:37:00;0.894;0.116;240.850;3.600;0.000;0.000;1.000
11/4/2010;15:43:00;0.240;0.000;245.190;1.000;0.000;0.000;1.000
9/8/2009;17:48:00;2.430;0.382;241.530;10.200;0.000;4.000;18.000
1/7/2009;18:10:00;1.512;0.222;243.090;6.200;0.000;0.000;18.000
21/9/2010;14:46:00;0.244;0.072;242.040;1.000;0.000;2.000;1.000
28/10/2007;01:36:00;0.584;0.072;240.730;2.400;0.000;0.000;0.000
10/12/2009;06:38:00;1.568;0.142;244.070;6.400;0.000;0.000;19.000
27/4/2007;17:41:00;0.304;0.000;235.170;1.200;0.000;0.000;0.000
29/7/2010;20:31:00;0.340;0.232;240.500;1.600;0.000;1.000;1.000
20/7/2008;05:13:00;0.144;0.000;241.800;0.600;0.000;0.000;0.000
27/10/2007;08:30:00;3.204;0.088;240.020;13.400;0.000;1.000;17.000
13/1/2008;12:28:00;0.786;0.264;238.560;3.600;1.000;1.000;0.000
24/9/2009;09:37:00;1.450;0.358;241.620;6.000;0.000;1.000;19.000
15/4/2009;11:03:00;0.308;0.000;239.350;1.400;0.000;0.000;0.000
30/5/2010;02:36:00;0.438;0.092;241.910;1.800;0.000;1.000;0.000
16/7/2009;20:39:00;0.244;0.124;244.400;1.000;0.000;0.000;1.000
8/6/2007;09:22:00;3.626;0.000;230.180;15.800;0.000;35.000;16.000
23/6/2008;16:27:00;0.262;0.160;241.340;1.200;0.000;0.000;1.000
3/2/2010;22:48:00;2.060;0.226;242.580;8.400;0.000;2.000;19.000
4/2/2007;03:16:00;2.454;0.198;241.460;10.200;0.000;2.000;0.000
16/6/2008;12:37:00;0.766;0.126;240.490;3.200;0.000;0.000;11.000
26/9/2009;04:16:00;0.234;0.146;243.880;1.000;0.000;0.000;1.000
16/10/2007;03:51:00;0.318;0.084;239.590;1.400;0.000;0.000;0.000
